"Notes","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"2023 ","2023","Utah","49",816,3417734,23.9,25.1
,"2023 ","2023","Vermont","50",270,647464,41.7,45.2
,"2023 ","2023","Virginia","51",2756,8715698,31.6,32.5
,"2023 ","2023","Washington","53",3660,7812880,46.8,45.5
,"2023 ","2023","West Virginia","54",1417,1770071,80.1,85.1
,"2023 ","2023","Wisconsin","55",1925,5910955,32.6,34.2
,"2023 ","2023","Wyoming","56",141,584057,24.1,25.1
"Total","2023 ","2023",,,115011,334914895,34.3,35.1
"Total",,,,,610031,1984987277,30.7,31.6
"---"
"Dataset: Underlying Cause of Death, 2018-2023, Single Race"
"Query Parameters:"
"ICD-10 Codes: P00-P96 (Certain conditions originating in the perinatal period); X40 (Accidental poisoning by and exposure to"
"nonopioid analgesics, antipyretics and antirheumatics); X41 (Accidental poisoning by and exposure to antiepileptic,"
"sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified); X42 (Accidental poisoning by and exposure"
"to narcotics and psychodysleptics [hallucinogens], not elsewhere classified); X43 (Accidental poisoning by and exposure to other"
"drugs acting on the autonomic nervous system); X44 (Accidental poisoning by and exposure to other and unspecified drugs,"
"medicaments and biological substances); X60 (Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics"
"and antirheumatics); X61 (Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and"
"psychotropic drugs, not elsewhere classified); X62 (Intentional self-poisoning by and exposure to narcotics and psychodysleptics"
"[hallucinogens], not elsewhere classified); X63 (Intentional self-poisoning by and exposure to other drugs acting on the"
"autonomic nervous system); X64 (Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and"
"biological substances); X85 (Assault by drugs, medicaments and biological substances); Y10 (Poisoning by and exposure to"
"nonopioid analgesics, antipyretics and antirheumatics, undetermined intent); Y11 (Poisoning by and exposure to antiepileptic,"
"sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent); Y12 (Poisoning by"
"and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent); Y13 (Poisoning"
"by and exposure to other drugs acting on the autonomic nervous system, undetermined intent); Y14 (Poisoning by and exposure to"
