year,state,deaths,population,crude_rate,age_adjusted_rate
2023,Montana,218.0,1132812.0,19.2,20.8
2023,Nebraska,243.0,1978379.0,12.3,13.1
2023,Nevada,1373.0,3194176.0,43.0,42.0
2023,New Hampshire,464.0,1402054.0,33.1,35.5
2023,New Jersey,2903.0,9290841.0,31.2,31.2
2023,New Mexico,1031.0,2114371.0,48.8,51.4
2023,New York,6745.0,19571216.0,34.5,33.8
2023,North Carolina,3966.0,10835491.0,36.6,38.8
2023,North Dakota,140.0,783926.0,17.9,19.0
2023,Ohio,5209.0,11785935.0,44.2,46.6
2023,Oklahoma,1432.0,4053824.0,35.3,36.9
2023,Oregon,1880.0,4233358.0,44.4,44.3
2023,Pennsylvania,5137.0,12961683.0,39.6,41.2
2023,Rhode Island,437.0,1095962.0,39.9,40.8
2023,South Carolina,2391.0,5373555.0,44.5,46.4
2023,South Dakota,123.0,919318.0,13.4,14.6
2023,Tennessee,3829.0,7126489.0,53.7,55.9
2023,Texas,6752.0,30503301.0,22.1,22.3
2023,Utah,816.0,3417734.0,23.9,25.1
2023,Vermont,270.0,647464.0,41.7,45.2
2023,Virginia,2756.0,8715698.0,31.6,32.5
2023,Washington,3660.0,7812880.0,46.8,45.5
2023,West Virginia,1417.0,1770071.0,80.1,85.1
2023,Wisconsin,1925.0,5910955.0,32.6,34.2
2023,Wyoming,141.0,584057.0,24.1,25.1
